Text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,neutral
Aho yeah to karna he paray ga.,0,0,0,0,0,0,1,0,0,0,0,0
ainda m khayal rakhn ga bs jaisy ap mjhy tang krty m ap ko krta hn,0,0,0,0,0,0,1,0,0,0,0,0
Aj ho jaey ge cricket k bd,0,0,0,0,0,0,1,0,0,0,0,0
We couldn't because we were also busy,0,0,0,0,0,0,0,1,0,0,0,0
wese b Mujhey pta tha tm nae jao gi:-D,0,0,0,0,1,0,0,1,0,0,0,0
Wo nai ho sakta Ahtisham Waheed,0,0,0,0,0,0,0,1,0,0,0,0
"Yahan environment b Thea nhi overall
Kuch meri company  b theak nhi",0,0,0,0,0,0,0,1,0,0,0,0
"yar DAY 1 busy hota mera 2nd day nano k ghar jana hota 3rd day ko kuch confirm nae hota ,",0,0,0,0,0,0,0,1,0,0,0,0
Yar dykhty abi humari kuch khas tyari b nai hy. ,0,0,0,0,0,0,0,1,0,0,0,0
"Ha bhai..
S0rry th0ri prblm thy thtx y cnt cntct with u",0,0,0,0,0,0,0,0,1,0,0,0
Ha..g. Janb books or bag kal lzmi lana parna.,0,0,0,0,0,0,0,0,1,0,0,0
Haan ajha khelty hain par mery pas ball nai hai,0,0,0,0,0,0,0,0,1,0,0,0
Haan g abhi aae hun hospital say. g chuti karu ge aj.,0,0,0,0,0,0,0,0,1,0,0,0
"Haan g...
Hain tu kaafi sari
But tcs deliver naee karta...
They have their own sentiments.. ..
I guess kisi ke haath bhijwana paray ga usko…",0,0,0,0,0,0,0,0,1,0,0,0
Haan karti hun bulkay pareshan hoti rehti hun kam honay ki waja say,0,0,0,0,0,0,0,0,1,0,0,0
Idhr to sabhi logon ko pta ha.,0,0,0,0,0,0,0,0,0,1,0,0
Itna lazmi q ha mjha bta,0,0,0,0,0,0,0,0,0,1,0,0
Jana aj hy to kia sbhu akely khao gy treat??,0,0,0,0,0,0,0,0,0,1,0,0
Jnb Kia huwa ha q chaheya,0,0,0,0,0,0,0,0,0,1,0,0
"Jo hukam ap ka.
Ap k hukam tabeh ho gya hn. Pata ni kya ho gya ha",0,0,0,0,0,0,0,0,0,1,0,0
khair hs tm bri side ly ri,0,0,0,0,0,0,0,0,0,1,0,0
A rha ho mai naly  wala rasta khula ha ya bnd,0,1,0,0,0,0,0,0,0,0,1,0
"A.o.a yar mein ny pochana tha k paypal ka acount pakistan mein kaisy work karta hai some idea,",0,1,0,0,0,0,0,0,0,0,1,0
Aa b ja yr..mai a gia ho,0,0,0,0,0,0,0,0,0,0,1,0
Aa jain yr thora parh lain gy phr chalain gy model town park.,0,1,0,0,0,0,0,0,0,0,1,0
Yr noc uni sa pta kr lay na :/ agar tra johar town ki trf chakr lgta tu :/,0,0,1,0,0,0,0,0,0,0,1,0
Yr notes ki pics send krna,0,0,0,0,0,0,0,0,0,0,1,0
chapar chapar . .  jo marzi bolty jatu jo b zuban py ata chahay ethical ho ya na ho . . . !! ,1,0,1,0,0,0,0,0,0,0,0,0
itna khyal na  rakha karo apna,0,0,0,0,0,0,0,0,0,0,0,1
"Itna ne, ak do he sunay",0,0,0,0,0,0,0,0,0,0,0,1
Itni jaldi kyn srs hogye main tu mazak kar rahi hon na ,0,0,0,0,0,0,0,0,0,0,0,1
Itni ziada mushkil b nahi thi.,0,0,0,0,0,0,0,0,0,0,0,1
Its ok.. No issue at all ,0,0,0,0,0,0,0,0,0,0,0,1
A jain ab k rat ko aoo gy :@,1,0,0,0,0,0,0,0,0,0,0,0
A rha hu k bcha teri bhn intzar kr rai ha or mjy tnj kr rai a ja..,1,0,1,0,0,0,0,0,0,0,0,0
Aoa hru?aj chuti pay hain phir aap?Faiza saima kanwal is asking k un ki numerical analysis ki book ap k pas hai?,0,1,0,0,0,0,0,0,0,0,1,0
But barish kafi dinO sy hO rahi ha...rukny ka naam he nai ly rahi..!,0,0,1,0,0,0,0,0,0,0,0,0
Phr kuch bi hona nahi chahiae.....,0,0,0,1,0,0,0,0,0,0,0,0
"Haha han :P mene to dua ki t sheesha toot'ta, lkn afsos haya b aakhir pakistani cricketers ki trha e t :D",0,0,0,0,1,0,0,0,1,0,0,0
Sham hotay hi charagon ko bujha deta hon...... Dil hi kafi hy teri yad mein jalny k liye,0,0,0,0,0,1,0,0,1,0,0,0
So so sweet of u dear.luv u yar. Realy u r a great frnd of mine. Sub thek hn.bus lahore rodas etc clear honay ka intizar hay.thn dik jana hay,0,0,0,0,0,1,1,0,0,0,0,0
Wasy ya project purana ni ho gaya?,0,0,0,0,0,0,0,1,0,0,0,0
Ha zain rehty tO tm b kafi dOor hO tmy b any ma 40 mint lgty hai,0,0,0,0,0,0,0,0,1,0,0,0
Imran ne uni chor di v hay.,0,0,0,0,0,0,0,0,0,1,0,0
A b jain sir je main apka wait kar raha hun ma ne ghar nikalna hai,0,0,0,0,0,0,0,0,0,0,1,0
"A a
Plz meet me. Bring ur laptop as well. Wslm",0,1,0,0,0,0,0,0,0,0,1,0
"A a
Sir aaj orientation session ho ga? Wslm",0,1,0,0,0,0,0,0,0,0,1,0
"Sbse sweet character mje jo lga wo h.. ;)
.
.
.
Anatolia ki baharay gull :D
(I hope mene jga ka naam ghalat na likha ho bs :P )",0,1,0,0,1,1,0,0,0,0,0,0
Its okay.. Msg count is about to complete ,0,0,0,0,0,0,0,0,0,0,0,1
Ja to kam kr sara din,0,0,0,0,0,0,0,0,0,0,0,1
#?Rabiya? Afzal senior ban k logon ka time waste karna ata ha tmhain .... jab members ko ans nai ,1,0,1,0,0,0,0,0,0,0,0,0
"Aaj to hd e kr rha h bdtmeezi ki. Ku--a :'( :P,",1,0,1,0,1,0,0,0,1,0,0,0
"Ab apni oukat me rahi free maat ho,",1,0,1,0,0,0,0,0,0,0,0,0
"ab bs our nae hota meray sy,",1,0,1,0,0,0,0,0,0,0,0,0
Ab kbi zndgi main tmhain nai khna oka bye na lo,1,0,1,0,0,0,0,0,0,0,0,0
Aoa maria bji..apne hostel kb ana hay??,0,1,0,0,0,0,0,0,0,0,0,0
