SMS,anger,anticipation,disgust,fear,joy,love,neutral,optimism,pessimism,sadness,surprise,trust
Me ar nazish angry he ap se ,1,0,0,0,0,0,0,0,0,0,0,0
Merzy to ap k hy jab time hova reply kia jab dil kia phone kia tek hy ok,1,0,1,0,0,0,0,0,0,0,0,0
milain gay to kakh success ho gi is compney main aur sab to kahain gay k yeh ha hi Fake .......,1,0,0,0,0,0,0,0,0,0,0,0
"Mjhy tou kch b ni hua ... ramsha hi gussa kr ri ... jaiz b hai .. hndle kr lungi ... :-),",1,0,0,0,1,0,0,1,0,0,0,0
Mri bt ka jwb mje chahye manOoo,1,0,0,0,0,0,0,0,0,0,0,0
Mri us din papa se islayae hui ha ka ap itna ku krte the pehla. Inki shadio tk ap na jtna kea ha apni jan nichar ki. Mali madad ki. Jobs pe lagwaya mre kazano ku. Or ya sb kute ehsan bol gae ha hmare. Mri phopo ka beta ha . Pichlae dino ne us ne itni galt bt ki mra papa ka sth ka tja kia btao.,1,0,1,0,0,0,0,0,0,0,0,0
Nai main nay ni karna msg wo manaye gi to man jaon ga nai to nai,1,0,0,0,0,0,0,0,0,0,0,0
Never seen such a shitty semi final.going to sleep aur waisay b 32 chaley gaey hy!,1,0,1,0,0,0,0,0,0,0,0,0
Oh bhans ye bowler harami ha,1,0,0,0,0,0,0,0,0,0,0,0
"Ok, ub huma ko kia masla hy, wo ku ni a rahi? ,",1,0,0,0,0,0,0,0,0,0,0,0
Okk fine thkkk hai ab mje b ghusa agya hai aor mera mood b off hogya hai fulll,1,0,0,0,0,0,0,0,0,0,0,0
Oye logo.. mera telenor ka num delete krdo. bs ye warid walay 2 save rkho. telenor ka ab baba k pass hota h or tum log usi pe birthday plan discuss kr rhe ho -_- :P :v :D,1,0,0,0,1,0,0,0,0,0,0,0
Pagalwagal to nai ho es time bazar kun ja rhi ho ?? ,1,0,0,0,0,0,0,0,0,0,0,0
Pagl ha bike khan sa lao brish m ,1,0,0,0,0,0,0,0,0,0,0,0
Panga lain ga police sa tu police walay kia krain …,1,0,0,0,0,0,0,0,0,0,0,0
"Please tb keh jb mai na krwa k de raha ho,ho he nhe skte meri wja se khud krwa skta hai tw akar krwa le",1,0,0,0,0,0,0,0,0,0,0,0
Pta ha yr pc alishan dramy baz ha... Na wo fon uthata ha... Wo aj bta deta to enrollment  krwa leta... Wo bgerti krta ha,1,0,1,0,0,0,0,0,0,0,0,0
R us n jo b kha apko bhai smjh k bhol jaen aj kal wo bht ajeb behave kr ra hy preshan hy usko khd b smjh ni aa re q r gusa dosro pr nikal dta,1,0,0,0,0,0,0,0,0,0,0,0
Rana sb aj na koi msg na koi phone na koi lift na koi yad theekh hy merzy hy ok deekh lia hy ao ko b,1,0,1,0,0,0,0,0,0,0,0,0
Razia ne ma'am se marks pochy to ma'am ne kaha k uni ko btaon ge apko nahe,1,0,0,0,0,0,0,0,0,0,0,0
Result bna dia ya kuch adjust ho skda lab ka ?,1,0,0,0,0,0,0,0,0,0,0,0
Sab ko pata h is story ka kisi k ankho p pati ni bandhi hwi uske ghr walo ko bhi pata sab ko maloom he sab kuch.,1,0,0,0,0,0,0,0,0,0,0,0
Saeyaan waiy hun ma ki kran saeyan waiy jiyaan yan maran ,1,0,1,0,0,0,0,0,0,0,0,0
sale 600 kch nmbr ae hain tere !!,1,0,0,0,0,0,0,0,0,0,0,0
Sory bhi jan naraz b na ho na sory,1,0,0,0,0,0,0,0,0,0,0,0
Time anay pay sab ka pta chl hi jata ha maza to tb ha k time say phlay pta ho sb,1,0,0,0,0,0,0,0,0,0,0,0
Tm asa karo k sim torr do apni aur mob rkh k tm nay karna bi kia ha han ,1,0,0,0,0,0,0,0,0,0,0,0
Tmhain to pta nai love ka na tm ksi say karti ho then ?,1,0,0,0,0,0,0,0,0,0,0,0
"To,
Shiza Raheel,
Madam,
             If u have Some time. 





Tou please Mar Jaaaaaaaaaaaaaayn >_<
Regards ",1,0,0,0,0,0,0,0,0,0,0,0
ufff itnaaaaa sara gusa bhai :-P yr bs exams ma bzy hn kl sham ko aon ga,1,0,0,0,1,0,0,1,0,0,0,0
"unfriend kar diya tha mein ny kal hi ,",1,0,0,0,0,0,0,0,0,0,0,0
Unique sy call aai mujhy k aap k bachy k kitny marks aaye hain to main ny un sy b sakht lehja istimaal kiya Aur unhon NY phr Abba g ko shikayat ki Aur Abba g mujhy pooch rhy thy k tum NY batmizi ki hai kya un sy??,1,0,0,0,0,0,0,0,0,0,0,0
Upar sy ghar waly b mujy keh rhe k tmhe ab hosh aya ha itne dino sy mail ayi hui thi ab un ko kon samjhaye k hmari uni ki management kitni shandar ha,1,0,1,0,0,0,0,0,0,0,0,0
"Waisay tm kbi ksi say pyar nai kar skti ha na uper uper say hi time pass karti ho na is liay signature main lkho 
Me time pass ",1,0,0,0,0,0,0,0,0,0,0,0
"Yaar ...
Hamari simple plea ye hai ...
K we shared report draft on 24...
Y they didn't consult every forum is their in house problem not ours",1,0,0,0,0,0,0,0,0,0,0,0
Yaar wo phase kam hvy ghr ky tou jaal gae,1,0,0,0,0,0,0,0,0,0,0,0
"Yar aba g jo lge hue thy. Mera genuine masla tha pc ka, wo ulta shuru hogae tu gemen khlta tu movie dkhta islie khrab hogya",1,0,0,0,0,0,0,0,0,0,0,0
Yar bc tum log late krwao ge ,1,0,0,0,0,0,0,0,0,0,0,0
Yar haar gya hai bc six pe.six,1,0,0,0,0,0,0,0,0,0,0,0
Yar kiya lund hain ye bowler mar rahay hain,1,0,0,0,0,0,0,0,0,0,0,0
Yess to us k pas janay ki kya zaroorat thi mje wo khud e na jama karwa atiiii,1,0,1,0,0,0,0,0,0,0,0,0
Yess to us k pas janay ki kya zaroorat thi mje wo khud e na jama karwa atiiii,1,0,1,0,0,0,0,0,0,0,0,0
yqr ye tire dalwa dalwa kr thak gya hu,1,0,1,0,0,0,0,0,0,1,0,0
Yr abi tu aya hn.w8 tu kr na.,1,0,1,0,0,0,0,0,0,0,0,0
Yr atleast reply tO kar he sakta ha tu,1,0,1,0,0,0,0,0,0,0,0,0
"yr bcccc... titorial kr ka ma na andriod studio pa 1 app bna lkn amulator ki wja sa run nhi ho rhi,",1,0,1,0,0,0,0,0,0,0,0,0
Yr masla pta kia ha. Yad ha tm log us din upar aie tha to papa bol raha tha gusa kr raha tha. To mja yaken kr us din papa pe bht gusa aya ka humari jaha bni hue ha waha to kam se kam rehna dae. Aksar esa hta ha mra ya arslan ka koe dost milnae a jae to papa dant ke bhej deta ha.,1,0,0,0,0,0,0,0,0,0,0,0
Yr mood ne ha aj mai kud angry man hu . Dil ni kr raha koi b bt krne ka.,1,0,1,0,0,0,0,0,0,0,0,0
Yr tu khud kO pata nai smjta kya ha...tjy msg karO agy sy reply b nai krta,1,0,1,0,0,0,0,0,0,0,0,0
Zada broker na dalo bech may,1,0,0,0,0,0,0,0,0,0,0,0
2 madams b pharti hain aik gusa bara kardi wa aj us ny sari class nu bar kad data,1,0,1,0,0,0,0,0,0,0,0,0
7 8 drs ne firing ki ha lekin front foot pe hi khelen hn sare bouncers,1,0,0,0,0,0,0,0,0,0,0,0
A ho a ty ha job wali gal ty pak wich okhi wa yr main ty kia c uni enjoykardy wa fr koi kam kr lawan gy pr ethy ty kam e ult wa panchod phas gy wa,1,0,0,0,0,0,0,0,0,0,0,0
Ab khud baat nahi ki then you said ky 'jab dil chahye tab krna'. Ab jab tmara dil kre tab krna. I got np!,1,0,1,0,0,0,0,0,0,0,0,0
ab os ny ki to ma n unfrnd kr dna ha...,1,0,0,0,0,0,0,0,0,0,0,0
Ab reply nae kru ga..dharna dene lga hu,1,0,0,0,0,0,0,0,0,0,0,0
Abi b na krti reply tm,1,0,0,0,0,0,0,0,0,0,0,0
agr dosti ma time nh dy skta to phr bola ku? ku dxti ki mane,1,0,1,0,0,0,0,0,0,0,0,0
Aik saal do semester guzarai hanarai sath ab na tu call uthata hai na reply krta hai...,1,0,0,0,0,0,0,0,0,0,0,0
"Baaz a ja?"""" Ye? Lol ya ye k saturday on hai? :-@ ",1,0,0,0,0,0,0,0,0,0,0,0
Bahi math ka kam nai diya nai tgeek hai bahi tri marzi....,1,0,0,0,0,0,0,0,0,0,0,0
Bd mae cl kare yr mera mud khrb ha.,1,0,0,0,0,0,0,0,0,0,0,0
But mera mood karab tha us din.,1,0,0,0,0,0,0,0,0,0,0,0
"cel mra apna ni h. tu wait kr skta tha. 
agr pkg na hta mra to? tne to blnk kiya tha msg",1,0,0,0,0,0,0,0,0,0,0,0
chapar chapar . .  jo marzi bolty jatu jo b zuban py ata chahay ethical ho ya na ho . . . !! ,1,0,1,0,0,0,0,0,0,0,0,0
"De dya...ab vo chezain meri hain,n mere lye bht imp.hain,tmhe on ki value ka nae pta...so,os bare mai baat na kro",1,0,0,0,0,0,0,0,0,0,0,0
"Ek he din me assignment bnao, ek he din me lecture yad kro, ek he din me lab ka bhe task kro. . . na me sb k sath mandi gya aj. . . r subha bhe shyd na ja paun",1,0,0,0,0,0,0,0,1,0,0,0
"Eshal mood kharab 
nae ho sakti baat 2 mint ",1,0,0,0,0,0,0,0,1,0,0,0
"G bilkul, akaila hi lga rhta hun mein roz.ao tm log.bula to rha hun monday se",1,0,0,0,0,0,0,0,0,0,0,0
"G nae...tm ne tym limit nae di thi..so,mai jb marzi sunao....bt tmhe 2 din tak pic dikhana lazmi hai....ab imran khan ki tarah bna baat ki zid na kro",1,0,1,0,0,0,0,0,0,0,0,0
"Goli maro tang krne wale ko...serious hi na lo n na response do,khud hi hat jaye ga",1,0,0,0,0,0,0,0,0,0,0,0
Gujjar tune karni ha ya nai pics send.,1,0,0,0,0,0,0,0,0,0,0,0
"Gusa ks chez ka. Me ne kha k phr kia kehty ho.
Phr ka yeh mean tha k me a jaon to ap ne kha he ni tha",1,0,0,0,0,0,0,0,0,0,0,0
"Han bta .
Yar main hr time hath Mobile ly k nahi betha huya",1,0,0,0,0,0,0,0,0,0,0,0
He says you are cheating me ,1,0,0,0,0,0,0,0,0,0,0,0
hmmm mjy post wali bat ka gussa ha,1,0,0,0,0,0,0,0,0,0,0,0
 Kb a rha phr flat pe,0,1,0,0,0,0,0,0,0,0,0,0
" Yaro phr Huda n Mayra ki birthdays ka kya krna,",0,1,0,0,1,0,0,1,0,0,1,0
", cavalry ground kahan hai ? ",0,1,0,0,0,0,0,0,0,0,0,0
"""Han.hain na.
Trey pas hain?
Car lay aon ga may.""",0,1,0,0,0,0,0,1,0,0,0,0
1 ganty sy zayada time lg jana ha,0,1,0,0,0,0,0,0,0,0,0,0
1 sa la ka 9 tak 1st part main ana ha or baki sawal dosre part main.             To ya kia hai. Ali Waris nay SMS kia hai,0,1,0,0,0,0,0,0,0,0,0,0
1 schol main hn ata hn thori dair tak ,0,1,0,0,0,0,0,0,0,0,0,1
1.1 Ka q no 4 kaisay ho ga,0,1,0,0,0,0,0,0,0,0,0,1
10 min ma nikal rhi hn uni sy,0,1,0,0,0,0,0,0,0,0,0,0
11 bjy uni ho ga vehy milty hy,0,1,0,0,0,0,0,0,0,0,0,0
11:30 bjy dean office mein meeting ha,0,1,0,0,0,0,0,0,0,0,0,0
2 bjy ha... Kal paper hoga k ni..??? ,0,1,0,0,0,0,0,0,0,0,0,0
200 msg pory krny ny :-),0,1,0,0,0,0,0,1,0,0,0,0
25 tk msgs ho gae hun gy i thnk,0,1,0,0,0,0,0,0,0,0,0,0
"40 maks ka paper ha..
5 questions ay gy paper conceptual ho ga coding be ay ge..",0,1,0,0,0,0,0,0,0,0,0,0
5 bjy clas off honi hai,0,1,0,0,0,0,0,1,0,0,0,0
6bje cls ha meri chor doon phr ma?,0,1,0,0,0,0,0,0,0,0,0,0
8number ftw :p khaqan ka agya reply,0,1,0,0,1,0,0,0,0,0,0,0
"A a
Any update from farrukh? Wslm",0,1,0,0,0,0,0,0,0,0,0,1
"A a
At what time will u come for meeting today? Plz inform madam ambreen as well? Wslm",0,1,0,0,0,0,0,0,0,0,0,0
"A a
Bhai how is hibba? Wslm",0,1,0,0,0,0,0,0,0,0,0,1
"A a
Bhai may we come to visit u between 10 to 11 tomorow?",0,1,0,0,0,0,0,0,0,0,0,1
"A a
Hav u written report on author profiling? Wslm",0,1,0,0,0,0,0,0,0,0,0,0
"A a
How r u? I want to talk to u and atif. When will u be free? Plz msg me. Wslm",0,1,0,0,0,0,0,0,0,0,0,0
"A a
I m leaving for multan. Zindagi baqi mulaqat baqi wslm",0,1,0,0,0,0,0,0,0,0,0,0
"A a
I wil send u msgs from today which u can add in ur corpus wslm",0,1,0,0,0,0,0,0,0,0,0,0
"A a
May i cal u on ufone around 9:15? Wslm",0,1,0,0,0,0,0,0,0,0,0,1
"A a
May i pick u for asar at 4:50? Wslm",0,1,0,0,0,0,0,0,0,0,0,1
"A a
Plz cal me. Waiting. Wslm",0,1,0,0,0,0,0,1,0,0,0,0
"A a
Today we have meeting at 2pm in my office. Wslm",0,1,0,0,0,0,0,0,0,0,0,0
"A a 
Sir wil u go for asar? Wslm",0,1,0,0,0,0,0,0,0,0,0,0
"A a 
Sir wil u go for zohar namaz? Wslm",0,1,0,0,0,0,0,0,0,0,0,0
A grad kitny marks pe ata?,0,1,0,0,0,0,0,0,0,0,0,0
A hi jae phr aj most welcme,0,1,0,0,0,0,0,0,0,0,0,0
A.a dear how r u & all at home ?What is going on now a days?Any progress?,0,1,0,0,0,0,0,0,0,0,0,0
"A.a guys, DM ka homework kb submit krvana h?",0,1,0,0,0,0,0,0,0,0,0,0
A.a kl ka kya plan bna phir? jaogay sb ya nhi?,0,1,0,0,0,0,0,0,0,0,0,0
"A.a.
Are you going to FIT? WSLM",0,1,0,0,0,0,0,0,0,0,0,0
"A.a.
Are you going to FIT? WSLM",0,1,0,0,0,0,0,0,0,0,0,0
"A.o.a yar mein ny pochana tha k paypal ka acount pakistan mein kaisy work karta hai some idea,",0,1,0,0,0,0,0,0,0,0,0,0
Aa skta ba ka form wager la ain??,0,1,0,0,0,0,0,0,0,0,0,0
Aaj Hamara Bhi Result Aya Hai To Kafi Load Ho Gya Ho Ga Server Pe. :-),0,1,0,0,1,0,0,0,0,0,0,0
Aap ne induction select kya ta na,0,1,0,0,0,0,0,0,0,0,0,0
Aap ny ager bna le ha to send kr saktay hain,0,1,0,0,0,0,0,0,0,0,0,0
Ab 30 mins kia karay ga? =P,0,1,0,0,1,0,0,0,0,0,0,0
Ab 7 strt hny wala ha.,0,1,0,0,0,0,0,0,0,0,0,0
Ab aya na line pa chl bta budjet ktna ha!,0,1,0,0,0,0,0,0,0,0,0,0
Ab bta mujy k kb tk ma expect krun ?,0,1,0,0,0,0,0,0,0,0,0,0
Ab dakhtay hain try karta hn anay ka,0,1,0,0,0,0,0,1,0,0,0,0
Ab kab tak free rehna hai i mean study kan start krni hai?? And result agya??,0,1,0,0,0,0,0,0,0,0,0,0
Ab mail aanay mein to tym lge ga. Mein to kl e check krungi ab.,0,1,0,0,0,0,0,0,0,0,0,0
Ab submit kaha krwau? Isko atst b krwau?,0,1,0,0,0,0,0,0,0,0,0,0
Ab tk I nai ho colge sy ... Ma aaya hua hun apki trf then mujy jana b hy wapiss ,0,1,0,0,0,0,0,0,0,0,0,0
Ab to ap sara din mery pas ho gy rana sb because ab ap free ho gy,0,1,0,0,1,0,0,0,0,0,0,0
Abhi ghar nahi hoon ghar ja kr snd krta hoon,0,1,0,0,0,0,0,0,0,0,0,0
Abhi nahi mile ...me sir se pouchta hon.,0,1,0,0,0,0,0,0,0,0,0,0
Abhi university ja raha hoon sham ko ae kr kr doon ga,0,1,0,0,0,0,0,0,0,0,0,0
Abi bike aati hy to ... Aa jaon ga. Okay mary aany sy phly ready rhna ,0,1,0,0,0,0,0,0,0,0,0,0
"Abi ja rha cls mai...
Btata hon.",0,1,0,0,0,0,0,0,0,0,0,0
Abi to hm ne chalana b sekhna papa mehran ya sherad ly kr dain gay ,0,1,0,0,0,0,0,1,0,0,0,0
Abu g ka plan hy aaj gaon jany ka kam hy unhain ak chota sa ... ,0,1,0,0,0,0,0,0,0,0,0,0
Ach boltal he pela dy ... Or cig b,0,1,0,0,0,0,0,0,0,0,0,0
Ach yr tu ne wo dcmnts jma krwa dye the...,0,1,0,0,0,0,0,0,0,0,0,0
Acha 1 din me koi free lectur b hain yaa non stop lecturs??,0,1,0,0,0,0,0,0,0,0,0,0
acha agr yehi info leni hy to hum phone pr b ly skty hy ...mery pas num hy un ka ,0,1,0,0,0,0,0,0,0,0,0,0
Acha g kun kia hua hy tybiyaat ko ? Colge sy kitny bjy I ho ??  ,0,1,0,0,0,0,0,0,0,0,0,0
"Acha g rate la k apko fone krn ga 	",0,1,0,0,0,0,0,0,0,0,0,0
"Acha kal kitny baje tak time h,?",0,1,0,0,0,0,0,0,0,0,0,0
Acha mam se kul suba pochty hn..ek to yahan ye b masla hay na,0,1,1,0,0,0,0,0,0,0,0,0
Acha muga sft eng ka lia kitny markz require han nust ma?,0,1,0,0,0,0,0,0,0,0,0,0
"Acha phr puch lo sub sy bcz jana tou tm 3 ny ha tou jaise tm logon ko convenient lgy,",0,1,0,0,0,0,0,0,0,0,0,1
Acha wow ab dupatta leti ha ya abhi bhi nahi? WO banda to kafi bara lagta tha daikhnay ma. samina ko spotting kyun ho rae ha? Kitna time guzra ha us ka?,0,1,0,0,0,0,0,0,0,0,1,0
Acha ya b k ... Hum ny ak welfare society bnai hy ..  Life star foundation k nam sy ... Us ko register krwany ka procedure pata hy apko ???  ,0,1,0,0,0,0,0,0,0,0,0,0
Acha yar timing kyaa haii.. or 1 din me kitny lecture hoty hain???,0,1,0,0,0,0,0,0,0,0,0,0
Acha yeh btao quizzzz kb h ,0,1,0,0,0,0,0,0,0,0,0,0
"Acha, tme is story mein sbse sweet character konsa lga? mje to... Nhi pehle tm btao, phir mein :P",0,1,0,0,1,0,0,0,0,0,0,0
Achaa ye batao aram ayaa ya usi tarah ha pain,0,1,0,0,0,0,0,0,0,0,0,0
adeel sab nal meeting ho gai?,0,1,0,0,0,0,0,0,0,0,0,0
admin koi ha jis ko shi pta ho yahan ??,0,1,0,0,0,0,0,0,0,0,0,0
Ae behan kuch kha lena please. ..abi to time hy kafi lunch me,0,1,0,0,0,0,0,0,0,0,0,0
Aftar party hai tm ajao aj,0,1,0,0,0,0,0,0,0,0,0,0
Ager shakoor ab ko phone ni aya to my subha other phone cro ga Directer ko i am wi8,0,1,0,0,0,0,0,0,0,0,0,0
agr clg jana h wo b chaly gay kiya kehta h?,0,1,0,0,0,0,0,0,0,0,0,1
Agr mood ha sth jana ka to bta di.,0,1,0,0,0,0,0,0,0,0,0,0
agr to english bol sakta hy far far to night ke job hy 6 pm to 2 am,0,1,0,0,0,0,0,0,0,0,0,0
Agr tum aay ho to mil k jana ..... Okay ma wa8 kron ga ,0,1,0,0,0,0,0,0,0,0,0,0
"Agy apply kia, ya rzlt k bd krogi ?",0,1,0,0,0,0,0,0,0,0,0,0
ahmad teri class kitny bjy hy kal?,0,1,0,0,0,0,0,0,0,0,0,0
"Ahmed , comp main power point ka software install hae?",0,1,0,0,0,0,0,0,0,0,0,0
"Ahnn..tum nikal jao
I will be late..",0,1,0,0,0,0,0,0,0,0,0,0
Aho . Me main mrkt aya hua ta agr jaldi fre hna to ml lete he,0,1,0,0,0,0,0,0,0,0,0,0
"Aik intelligence test k liye 31 mint hoty hain Aur us main MCQs 94 hoty hain shyd aur dosra 96 mcqs ka hota hai 41 minutes k liye is liye sary solve krny ki koshish Karin, der na lagain kisi mcq py b Jo der lay aur bhot lambi statement wala ho usy chor dain bad main krny k liye,,,",0,1,0,0,0,0,0,0,0,0,0,0
Aj ap ne kitne bje uni ana hai ?,0,1,0,0,0,0,0,0,0,0,0,0
Aj gea ha ya uni ay ga!,0,1,0,0,0,0,0,0,0,0,0,0
Aj kis ka match hai Abi?,0,1,0,0,0,0,0,0,0,0,0,0
Aj kis time fre ho mujhay kam hai tum say plz,0,1,0,0,0,0,0,0,0,0,0,1
Aj lab kitne bje e??? Jldi bta,0,1,0,0,0,0,0,0,0,0,0,1
Aj to net ni ho ga kal subah dekhon ga..,0,1,0,0,0,0,0,0,0,0,0,0
Aj tum ne uni ana hai ?,0,1,0,0,0,0,0,0,0,0,0,0
Alag page p likh lien tu zayada acha ho ga .,0,1,0,0,0,0,0,0,0,0,0,0
Algo ki assignment 2 ka maza aya ?,0,1,0,0,1,0,0,0,0,0,0,0
Allah ka shukar.sir uni kab sa open ho ge.ur paper ka kb hn .,0,1,0,0,0,0,0,0,0,0,0,0
Ami g gai hui hain ... Anti g ki trf so aksar late uthta hun mai so k .... Ghr mai rhny ka maza nai aata ,0,1,0,0,0,0,0,0,0,0,0,0
Ana hai na aaj test deny ??,0,1,0,0,0,0,0,0,0,0,0,0
And really bht batain kerni ha ap se whn will talk on skp,0,1,0,0,0,0,0,0,0,0,0,0
Any update? Idhr to paper b late strt hoa hai..,0,1,0,0,0,0,0,0,0,0,0,0
"AOA
I talked to Sir Shehzad...
Laptops not received yet at Lahore campus.
He will update me tomorrow…",0,1,0,0,0,0,0,0,0,0,0,0
"AOA
Please let me know if any MS / PhD student of batch Fall 13 of COMSATS lahore has not received email for PM Laptop yet...
Today is  Last date for queries. No late requests will be entertained...
Says registration branch ",0,1,0,0,0,0,0,0,0,0,0,0
"AoA
Sir ap ny slides bnae hoi hain jo ap lab me parhaty?",0,1,0,0,0,0,0,0,0,0,0,0
"Aoa ,hru? R u in office? Yahan to nikalnay wala hall he nahi lag raha",0,1,0,0,0,0,0,0,0,0,0,0
Aoa . bhai faisal yaseen ka no. send kar do plz.,0,1,0,0,0,0,0,0,0,0,0,1
Aoa ..aap monday ko time dy skty han bcz kl komal log nhi han?,0,1,0,0,0,0,0,1,0,0,0,1
